"SYSTEM","RANK","FAMILY","NAME","SPECIES","AUTHORITY","FOREWING_LB","FOREWING_MED","FOREWING_UB","PRED_DRY_MASS","log_DRY_MASS","SE"
4577,"Species","Geometridae","Eupithecia linariata","Eupithecia linariata","([Denis & Schiffermüller], 1775)",9,9.5,10,3.00886602264599,1.10156327111524,0.136516179856784
4579,"Species","Geometridae","Eupithecia pulchellata","Eupithecia pulchellata","Stephens, 1831",10,11,12,4.38192503559109,1.47748813367667,0.1102033245002
4582,"Species","Geometridae","Eupithecia ultimaria","Eupithecia ultimaria","Boisduval, 1840",7,8.5,10,2.26223957562422,0.816355285270412,0.160005984795754
4584,"Species","Geometridae","Eupithecia plumbeolata","Eupithecia plumbeolata","(Haworth, 1809)",9,9.5,10,3.00886602264599,1.10156327111524,0.136516179856784
4586,"Species","Geometridae","Eupithecia pygmaeata","Eupithecia pygmaeata","(Hübner, [1799])",8,8.5,9,2.26223957562422,0.816355285270412,0.160005984795754
4588,"Subspecies","Geometridae","Eupithecia venosata venosata","Eupithecia venosata","(Fabricius, 1787)",10,12,14,5.47726133426688,1.70060521951937,0.0986798258354383
4590,"Subspecies","Geometridae","Eupithecia venosata ochracae","Eupithecia venosata","Gregson, 1886",10,12,14,5.47726133426688,1.70060521951937,0.0986798258354383
4591,"Subspecies","Geometridae","Eupithecia venosata fumosae","Eupithecia venosata","Gregson, 1887",10,12,14,5.47726133426688,1.70060521951937,0.0986798258354383
4592,"Subspecies","Geometridae","Eupithecia venosata hebridensis","Eupithecia venosata","Curtis, 1944",10,12,14,5.47726133426688,1.70060521951937,0.0986798258354383
4593,"Subspecies","Geometridae","Eupithecia venosata plumbea","Eupithecia venosata","Huggins, 1962",10,12,14,5.47726133426688,1.70060521951937,0.0986798258354383
4594,"Species","Geometridae","Eupithecia abbreviata","Eupithecia abbreviata","Stephens, 1831",10,11,12,4.38192503559109,1.47748813367667,0.1102033245002
4596,"Species","Geometridae","Eupithecia dodoneata","Eupithecia dodoneata","Guenée, [1858]",8,9.5,11,3.00886602264599,1.10156327111524,0.136516179856784
4598,"Species","Geometridae","Eupithecia pusillata","Eupithecia pusillata","([Denis & Schiffermüller], 1775)",9,10,11,3.43182097903618,1.23309101797972,0.1265603994919
